Symbol,Price
BTC,96556
BTC,96156
BTC,98310
BTC,96645
BTC,95638
BTC,95781
BTC,96132
BTC,97573
BTC,97505
BTC,96610
BTC,97881
BTC,95772
BTC,97435
BTC,96469
BTC,96448
BTC,96514
BTC,96569
BTC,96595
BTC,97793
BTC,97761
BTC,97685
BTC,96542
BTC,94534
BTC,94612
BTC,94724
BTC,92540
BTC,95067
BTC,96930
BTC,98400
BTC,98348
BTC,98220
BTC,98168
BTC,96960
BTC,94560
BTC,93557
BTC,92780
BTC,93716
BTC,95285
BTC,94276
BTC,95778
BTC,99391
BTC,98668
BTC,94852
BTC,95184
BTC,97253
BTC,97796
BTC,97466
BTC,100198
BTC,106139
BTC,106058
BTC,104443
BTC,101418
BTC,101426
BTC,100010
BTC,101126
BTC,96600
BTC,97359
BTC,101116
BTC,99837
BTC,99761
BTC,96971
BTC,98636
BTC,95899
BTC,95847
BTC,97201
BTC,96406
BTC,97438
BTC,95646
BTC,95887
BTC,91978
BTC,93064
BTC,97935
BTC,97699
BTC,98930
BTC,98375
BTC,94304
BTC,92239
BTC,90479
BTC,89834
BTC,90539
BTC,91047
BTC,87294
BTC,90422
BTC,87941
BTC,88664
BTC,80389
BTC,76700
BTC,76517
BTC,75869
BTC,75586
BTC,69374
BTC,67849
BTC,68770
BTC,69326
BTC,69507
BTC,70282
BTC,72348
BTC,72730
BTC,69954
BTC,68005
BTC,67087
BTC,66697
BTC,68192
BTC,66664
BTC,67427
BTC,67371
BTC,69031
BTC,68372
BTC,68423
BTC,67418
BTC,67618
BTC,67078
BTC,66082
BTC,62871
BTC,63205
BTC,62499
BTC,60316
BTC,60629
BTC,62157
BTC,62246
BTC,62819
BTC,62061
BTC,62081
BTC,60751
BTC,60646
BTC,60836
BTC,63339
BTC,65607
BTC,65867
BTC,65776
BTC,65176
BTC,63157
BTC,64257
BTC,63332
BTC,63573
BTC,63348
BTC,63201
BTC,62939
BTC,61758
BTC,60309
BTC,58213
BTC,59139
BTC,59995
BTC,60512
BTC,58135
BTC,57339
BTC,57635
BTC,57050
BTC,54861
BTC,54157
BTC,53967
BTC,56183
BTC,57973
BTC,57480
BTC,59134
BTC,57316
BTC,98757
BTC,96673
BTC,96703
BTC,97248
BTC,97742
BTC,97975
BTC,98874
BTC,98099
BTC,97671
BTC,98487
BTC,98332
BTC,97328
BTC,96889
BTC,100189
BTC,99159
BTC,99146
BTC,102539
BTC,102116
BTC,101532
BTC,102748
BTC,106062
BTC,106439
BTC,104760
BTC,103723
BTC,104962
BTC,105428
BTC,105432
BTC,107151
BTC,106852
BTC,106818
BTC,107225
BTC,84714
BTC,84213
BTC,88676
BTC,91509
BTC,96259
BTC,96556
BTC,96155
BTC,98310
BTC,96645
BTC,95638
BTC,95781
BTC,96132
BTC,97573
BTC,97505
BTC,96640
BTC,97881
BTC,95772
BTC,97435
BTC,96469
BTC,96448
BTC,96514
BTC,96569
BTC,96595
BTC,97793
BTC,101337
BTC,97685
BTC,100648
BTC,102424
BTC,104727
BTC,103722
BTC,101349
BTC,102092
BTC,110000